space	fold	null_kind	R	seed	build_docs	eval_docs	frequent	eligible	obs_total	null_mean	null_sd	z_seg	ratio	null_min	null_max	mc_p_lo	mc_p_hi	mc_p_2s	formed	floor	binom_p	drift_reps	inc_before	inc_after	collapsed_frac	docs_changed	toks_changed
author	fold1	label	100	[20260831, 0]	142123	73817	8419	364	746	1055.67	32.47061902705275	-9.536929361956417	0.7066602252597876	968.0	1148.0	0.009900990099009901	1.0	0.019801980198019802	1	3.64	0.974224278330883	10	378816.0	377019.6	0.004742143943233716	1538.4	484.7
author	fold2	label	100	[20260831, 1]	70880	71243	4346	110	454	646.3	22.90960497258737	-8.393859266892541	0.7024601578214452	585.0	690.0	0.009900990099009901	1.0	0.019801980198019802	0	1.1	1.0	10	319673.0	317858.8	0.005675174318757016	1542.1	482.5
thread	fold1	label	100	[20260831, 2]	133634	59358	10444	25161	12098	48383.47	230.61979338296183	-157.33892337569307	0.2500440749702326	47786.0	49069.0	0.009900990099009901	1.0	0.019801980198019802	21	251.61	0.9999999999874419	10	455921.0	454489.1	0.0031406756872353397	1382.1	436.1
thread	fold2	label	100	[20260831, 3]	69014	64620	5460	7505	7866	28257.86	158.52104087470533	-128.63819141912953	0.2783650283496344	27815.0	28673.0	0.009900990099009901	1.0	0.019801980198019802	10	75.05	1.0	10	411216.0	409707.7	0.003667902027158448	1455.8	437.9
