B	window	eval_start	eval_end	stratum	lens	build_docs	eval_docs	n_eligible	obs_total	null_mean	null_sd	z_seg	formed	binom_p	uninformative	null_kind	R	ratio	null_min	null_max	mc_p_lo	mc_p_hi	mc_p_2s	drift_reps	inc_before	inc_after	collapsed_frac	docs_changed	toks_changed
4	1	2020Q2	2020Q3	WSB	union	70164	84951	77	695	649.267	25.58471635566828	1.787512488480953	2	0.18004983570116478	0	stratified	1000	1.0704378938094805	568.0	737.0	0.955044955044955	0.04695304695304695	0.0939060939060939	10	338433.0	316434.6	0.06500075347262242	9555.4	306.0
4	2	2020Q3	2020Q4	WSB	union	101474	95297	64	199	192.916	13.157771239841495	0.4623883398715552	2	0.13462396498317036	0	stratified	1000	1.031537042028655	143.0	230.0	0.6823176823176823	0.34265734265734266	0.6853146853146853	10	333911.0	308720.3	0.07544136012290703	10568.7	277.4
4	3	2020Q4	2021Q1	WSB	union	132283	519818	124	1125	716.23	22.703019622948837	18.005093894505734	13	4.88498517400996e-10	0	stratified	1000	1.570724487943817	646.0	794.0	1.0	0.000999000999000999	0.001998001998001998	10	1176917.0	1023886.4	0.13002667137954502	69488.7	285.1
4	4	2021Q1	2021Q2	WSB	union	173357	587814	318	2891	1780.753	38.37686791545136	28.93010973292561	44	1.4404471933141282e-35	0	stratified	1000	1.6234705206168403	1671.0	1918.0	1.0	0.000999000999000999	0.001998001998001998	10	1272101.0	1108459.8	0.1286385279156293	73801.8	246.5
4	5	2021Q2	2021Q3	WSB	union	604769	166668	498	603	837.225	31.38720081498189	-7.462436723194462	5	0.5568583582612042	0	stratified	1000	0.7202364955657081	749.0	954.0	0.000999000999000999	1.0	0.001998001998001998	10	419209.0	383841.8	0.08436650930681358	15183.2	221.2
4	18	2024Q3	2024Q4	WSB	union	127937	68167	131	357	507.434	20.71583075814243	-7.261789389782082	1	0.7319532830830855	0	stratified	1000	0.7035397706893901	442.0	574.0	0.000999000999000999	1.0	0.001998001998001998	10	187114.0	175855.1	0.060171339397372695	5221.8	202.0
4	4	2021Q1	2021Q2	DD	union	83441	94386	211	522	754.283	25.95547940223798	-8.949285674915012	2	0.6243766692931486	0	stratified	1000	0.6920479448694986	675.0	850.0	0.000999000999000999	1.0	0.001998001998001998	10	198116.0	185935.4	0.06148216196571708	6368.2	180.7
4	5	2021Q2	2021Q3	DD	union	132879	51413	345	242	530.602	22.329299048559495	-12.924812345088737	0	1.0	0	stratified	1000	0.45608572903984534	469.0	600.0	0.000999000999000999	1.0	0.001998001998001998	10	117326.0	113160.8	0.03550108245401699	2422.0	169.9
