B	window	eval_start	eval_end	stratum	lens	build_docs	eval_docs	n_eligible	obs_total	null_mean	null_sd	z_seg	formed	binom_p	uninformative	null_kind	R	ratio	null_min	null_max	mc_p_lo	mc_p_hi	mc_p_2s	drift_reps	inc_before	inc_after	collapsed_frac	docs_changed	toks_changed
4	0	2020Q1	2020Q2	WSB	union	44013	78060	45	227	283.1	14.975646897546696	-3.7460819144440634	1	0.36381451393612796	0	label	100	0.8018368067820557	244.0	323.0	0.009900990099009901	1.0	0.019801980198019802	0	nan	nan	nan	nan	nan
4	1	2020Q2	2020Q3	WSB	union	70164	84951	77	695	656.9	24.581090293150137	1.5499719314979743	2	0.18004983570116848	0	label	100	1.057999695539656	584.0	725.0	0.9603960396039604	0.04950495049504951	0.09900990099009901	0	nan	nan	nan	nan	nan
4	0	2020Q1	2020Q2	DD	union	28977	38412	63	189	318.95	15.991482107672196	-8.126201131642087	0	1.0	0	label	100	0.592569368239536	278.0	371.0	0.009900990099009901	1.0	0.019801980198019802	0	nan	nan	nan	nan	nan
