space	fold	null_kind	R	seed	build_docs	eval_docs	frequent	eligible	obs_total	null_mean	null_sd	z_seg	ratio	null_min	null_max	mc_p_lo	mc_p_hi	mc_p_2s	formed	floor	binom_p	drift_reps	inc_before	inc_after	collapsed_frac	docs_changed	toks_changed
thread	fold1	label	1000	[[20260831, 2, 0], [20260831, 2, 1], [20260831, 2, 2], [20260831, 2, 3], [20260831, 2, 4], [20260831, 2, 5], [20260831, 2, 6], [20260831, 2, 7], [20260831, 2, 8], [20260831, 2, 9]]	133634	59358	10444	25161	12098	48378.982	222.7502226171727	-162.87742195595433	0.25006727094836345	47653.0	49084.0	0.000999000999000999	1.0	0.001998001998001998	11	251.61	0.9999999999869641	100	455921.0	454485.48	0.003148615659291892	1387.7	437.55
thread	fold2	label	1000	[[20260831, 3, 0], [20260831, 3, 1], [20260831, 3, 2], [20260831, 3, 3], [20260831, 3, 4], [20260831, 3, 5], [20260831, 3, 6], [20260831, 3, 7], [20260831, 3, 8], [20260831, 3, 9]]	69014	64620	5460	7505	7866	28250.974	164.03174486665682	-124.27456658813917	0.27843287810183115	27752.0	28758.0	0.000999000999000999	1.0	0.001998001998001998	9	75.05	1.0	100	411216.0	409736.39	0.003598133341115098	1429.58	432.0
