B	window	build_start	eval_start	eval_end	stratum	lens	build_docs	eval_docs	frequent_tickers	co_pairs	eligible
4	18	2023Q3	2024Q3	2024Q4	DD	union	61289	36544	867	96655	161
4	18	2023Q3	2024Q3	2024Q4	DD	cashtag	4700	2880	77	1272	2
6	0	2019Q1	2020Q3	2020Q4	WSB	union	122073	95297	1228	283944	99
6	0	2019Q1	2020Q3	2020Q4	WSB	cashtag	27486	14173	347	27150	41
6	0	2019Q1	2020Q3	2020Q4	DD	union	67389	45029	944	121732	201
6	0	2019Q1	2020Q3	2020Q4	DD	cashtag	6141	3892	116	3455	13
6	1	2019Q2	2020Q4	2021Q1	WSB	union	155115	519818	1380	341817	143
6	1	2019Q2	2020Q4	2021Q1	WSB	cashtag	31640	76936	379	30586	50
6	1	2019Q2	2020Q4	2021Q1	DD	union	81408	88385	1043	146053	188
6	1	2019Q2	2020Q4	2021Q1	DD	cashtag	7262	9468	134	4492	13
6	2	2019Q3	2021Q1	2021Q2	WSB	union	196771	587814	1551	407102	342
6	2	2019Q3	2021Q1	2021Q2	WSB	cashtag	36387	89525	417	33368	114
6	2	2019Q3	2021Q1	2021Q2	DD	union	97725	94386	1143	176133	241
6	2	2019Q3	2021Q1	2021Q2	DD	cashtag	8689	10760	159	5693	21
6	3	2019Q4	2021Q2	2021Q3	WSB	union	652101	166668	2005	538275	676
6	3	2019Q4	2021Q2	2021Q3	WSB	cashtag	102459	29831	589	44269	457
6	3	2019Q4	2021Q2	2021Q3	DD	union	155436	51413	1449	238279	433
6	3	2019Q4	2021Q2	2021Q3	DD	cashtag	15397	6069	242	9086	107
6	4	2020Q1	2021Q3	2021Q4	WSB	union	761171	85921	2139	580922	698
6	4	2020Q1	2021Q3	2021Q4	WSB	cashtag	119800	17073	666	50056	500
6	4	2020Q1	2021Q3	2021Q4	DD	union	177827	43956	1595	273881	459
6	4	2020Q1	2021Q3	2021Q4	DD	cashtag	18132	5180	291	11822	110
6	5	2020Q2	2021Q4	2022Q1	WSB	union	771437	84190	2163	576855	659
6	5	2020Q2	2021Q4	2022Q1	WSB	cashtag	120084	14021	664	48327	428
6	5	2020Q2	2021Q4	2022Q1	DD	union	184292	43672	1629	282339	484
6	5	2020Q2	2021Q4	2022Q1	DD	cashtag	19328	4573	300	12731	108
6	6	2020Q3	2022Q1	2022Q2	WSB	union	769032	81174	2104	526358	545
6	6	2020Q3	2022Q1	2022Q2	WSB	cashtag	120771	11234	656	44326	372
6	6	2020Q3	2022Q1	2022Q2	DD	union	183371	39426	1625	270533	417
6	6	2020Q3	2022Q1	2022Q2	DD	cashtag	19832	3680	307	12792	105
6	7	2020Q4	2022Q2	2022Q3	WSB	union	770676	92289	2085	499207	479
6	7	2020Q4	2022Q2	2022Q3	WSB	cashtag	120788	12245	652	42650	372
6	7	2020Q4	2022Q2	2022Q3	DD	union	183470	34155	1647	274558	414
6	7	2020Q4	2022Q2	2022Q3	DD	cashtag	20110	3053	315	13493	101
6	8	2021Q1	2022Q3	2022Q4	WSB	union	754909	88171	2049	464701	504
6	8	2021Q1	2022Q3	2022Q4	WSB	cashtag	117832	11222	646	42514	378
6	8	2021Q1	2022Q3	2022Q4	DD	union	177768	30721	1625	266770	401
6	8	2021Q1	2022Q3	2022Q4	DD	cashtag	19620	2691	314	13742	100
6	9	2021Q2	2022Q4	2023Q1	WSB	union	343147	59857	1653	356699	371
6	9	2021Q2	2022Q4	2023Q1	WSB	cashtag	56097	7070	506	33711	291
6	9	2021Q2	2022Q4	2023Q1	DD	union	129240	27707	1417	222291	309
6	9	2021Q2	2022Q4	2023Q1	DD	cashtag	13695	2324	230	9485	30
6	10	2021Q3	2023Q1	2023Q2	WSB	union	255266	49118	1475	312096	273
6	10	2021Q3	2023Q1	2023Q2	WSB	cashtag	39529	6244	425	27287	182
6	10	2021Q3	2023Q1	2023Q2	DD	union	114103	25981	1298	194095	248
6	10	2021Q3	2023Q1	2023Q2	DD	cashtag	11551	2041	196	7374	39
6	11	2021Q4	2023Q2	2023Q3	WSB	union	236336	45182	1414	291615	170
6	11	2021Q4	2023Q2	2023Q3	WSB	cashtag	33336	6185	380	22916	129
6	11	2021Q4	2023Q2	2023Q3	DD	union	105534	25877	1240	181981	251
6	11	2021Q4	2023Q2	2023Q3	DD	cashtag	9950	1994	168	5881	32
6	12	2022Q1	2023Q3	2023Q4	WSB	union	218463	44496	1381	277693	131
6	12	2022Q1	2023Q3	2023Q4	WSB	cashtag	28700	6031	333	19180	107
6	12	2022Q1	2023Q3	2023Q4	DD	union	96128	26427	1182	169660	208
6	12	2022Q1	2023Q3	2023Q4	DD	cashtag	8412	2057	144	4621	36
6	13	2022Q2	2023Q4	2024Q1	WSB	union	197328	66411	1321	255150	131
6	13	2022Q2	2023Q4	2024Q1	WSB	cashtag	25500	9285	301	16511	86
6	13	2022Q2	2023Q4	2024Q1	DD	union	87739	30645	1115	151626	197
6	13	2022Q2	2023Q4	2024Q1	DD	cashtag	7371	2359	128	3587	32
6	14	2022Q3	2024Q1	2024Q2	WSB	union	181785	83441	1258	235111	167
6	14	2022Q3	2024Q1	2024Q2	WSB	cashtag	23497	11816	283	14453	85
6	14	2022Q3	2024Q1	2024Q2	DD	union	83129	34862	1073	139660	213
6	14	2022Q3	2024Q1	2024Q2	DD	cashtag	6789	2643	116	2770	27
6	15	2022Q4	2024Q2	2024Q3	WSB	union	171450	70708	1287	249315	155
6	15	2022Q4	2024Q2	2024Q3	WSB	cashtag	22540	9356	289	15382	71
6	15	2022Q4	2024Q2	2024Q3	DD	union	84229	34385	1083	139932	234
6	15	2022Q4	2024Q2	2024Q3	DD	cashtag	6677	2561	121	2806	25
6	16	2023Q1	2024Q3	2024Q4	WSB	union	177055	68167	1313	254718	198
6	16	2023Q1	2024Q3	2024Q4	WSB	cashtag	24091	9052	301	16147	81
6	16	2023Q1	2024Q3	2024Q4	DD	union	87270	36544	1122	145531	206
6	16	2023Q1	2024Q3	2024Q4	DD	cashtag	6741	2880	125	2871	10
8	0	2019Q1	2021Q1	2021Q2	WSB	union	217370	587814	1618	432282	368
8	0	2019Q1	2021Q1	2021Q2	WSB	cashtag	41659	89525	450	37524	123
8	0	2019Q1	2021Q1	2021Q2	DD	union	112418	94386	1260	200792	331
8	0	2019Q1	2021Q1	2021Q2	DD	cashtag	10033	10760	174	6624	26
8	1	2019Q2	2021Q2	2021Q3	WSB	union	674933	166668	2061	563870	754
8	1	2019Q2	2021Q2	2021Q3	WSB	cashtag	108576	29831	619	49512	521
8	1	2019Q2	2021Q2	2021Q3	DD	union	169793	51413	1530	258059	504
8	1	2019Q2	2021Q2	2021Q3	DD	cashtag	16730	6069	269	10914	119
8	2	2019Q3	2021Q3	2021Q4	WSB	union	784585	85921	2196	609471	771
8	2	2019Q3	2021Q3	2021Q4	WSB	cashtag	125912	17073	700	56171	557
8	2	2019Q3	2021Q3	2021Q4	DD	union	192111	43956	1670	293788	521
8	2	2019Q3	2021Q3	2021Q4	DD	cashtag	19449	5180	311	13293	118
8	3	2019Q4	2021Q4	2022Q1	WSB	union	818769	84190	2264	632828	819
8	3	2019Q4	2021Q4	2022Q1	WSB	cashtag	132290	14021	739	59919	562
8	3	2019Q4	2021Q4	2022Q1	DD	union	206849	43672	1737	313049	546
8	3	2019Q4	2021Q4	2022Q1	DD	cashtag	21466	4573	335	14922	118
8	4	2020Q1	2022Q1	2022Q2	WSB	union	847092	81174	2327	649168	839
8	4	2020Q1	2022Q1	2022Q2	WSB	cashtag	136873	11234	758	61588	577
8	4	2020Q1	2022Q1	2022Q2	DD	union	221783	39426	1805	332175	599
8	4	2020Q1	2022Q1	2022Q2	DD	cashtag	23312	3680	366	16989	115
8	5	2020Q2	2022Q2	2022Q3	WSB	union	855627	92289	2318	637802	749
8	5	2020Q2	2022Q2	2022Q3	WSB	cashtag	134105	12245	735	57059	502
8	5	2020Q2	2022Q2	2022Q3	DD	union	227964	34155	1861	348583	569
8	5	2020Q2	2022Q2	2022Q3	DD	cashtag	23901	3053	375	17963	122
8	6	2020Q3	2022Q3	2022Q4	WSB	union	850206	88171	2255	588588	664
8	6	2020Q3	2022Q3	2022Q4	WSB	cashtag	132005	11222	718	52529	434
8	6	2020Q3	2022Q3	2022Q4	DD	union	222797	30721	1818	333192	517
8	6	2020Q3	2022Q3	2022Q4	DD	cashtag	23512	2691	370	17701	115
8	7	2020Q4	2022Q4	2023Q1	WSB	union	862965	59857	2226	557432	635
8	7	2020Q4	2022Q4	2023Q1	WSB	cashtag	133033	7070	728	51695	440
8	7	2020Q4	2022Q4	2023Q1	DD	union	217625	27707	1795	324485	504
8	7	2020Q4	2022Q4	2023Q1	DD	cashtag	23163	2324	362	17105	110
8	8	2021Q1	2023Q1	2023Q2	WSB	union	843080	49118	2173	515603	626
8	8	2021Q1	2023Q1	2023Q2	WSB	cashtag	129054	6244	700	49138	444
8	8	2021Q1	2023Q1	2023Q2	DD	union	208489	25981	1767	307189	522
8	8	2021Q1	2023Q1	2023Q2	DD	cashtag	22311	2041	356	16464	143
8	9	2021Q2	2023Q2	2023Q3	WSB	union	403004	45182	1801	409024	460
8	9	2021Q2	2023Q2	2023Q3	WSB	cashtag	63167	6185	547	38600	316
8	9	2021Q2	2023Q2	2023Q3	DD	union	156947	25877	1571	261713	391
8	9	2021Q2	2023Q2	2023Q3	DD	cashtag	16019	1994	264	11583	58
8	10	2021Q3	2023Q3	2023Q4	WSB	union	304384	44496	1635	363211	319
8	10	2021Q3	2023Q3	2023Q4	WSB	cashtag	45773	6031	460	31565	194
8	10	2021Q3	2023Q3	2023Q4	DD	union	140084	26427	1476	237391	317
8	10	2021Q3	2023Q3	2023Q4	DD	cashtag	13592	2057	230	9554	46
8	11	2021Q4	2023Q4	2024Q1	WSB	union	281518	66411	1569	339582	232
8	11	2021Q4	2023Q4	2024Q1	WSB	cashtag	39521	9285	427	27234	155
8	11	2021Q4	2023Q4	2024Q1	DD	union	131411	30645	1418	225073	308
8	11	2021Q4	2023Q4	2024Q1	DD	cashtag	11944	2359	199	7839	36
8	12	2022Q1	2024Q1	2024Q2	WSB	union	262959	83441	1519	320122	210
8	12	2022Q1	2024Q1	2024Q2	WSB	cashtag	34731	11816	386	23633	140
8	12	2022Q1	2024Q1	2024Q2	DD	union	122555	34862	1377	213268	281
8	12	2022Q1	2024Q1	2024Q2	DD	cashtag	10469	2643	180	6522	39
8	13	2022Q2	2024Q2	2024Q3	WSB	union	263739	70708	1530	325290	336
8	13	2022Q2	2024Q2	2024Q3	WSB	cashtag	34785	9356	379	23922	152
8	13	2022Q2	2024Q2	2024Q3	DD	union	118384	34385	1337	199919	281
8	13	2022Q2	2024Q2	2024Q3	DD	cashtag	9730	2561	172	5526	37
8	14	2022Q3	2024Q3	2024Q4	WSB	union	265226	68167	1552	324882	411
8	14	2022Q3	2024Q3	2024Q4	WSB	cashtag	35313	9052	384	22879	187
8	14	2022Q3	2024Q3	2024Q4	DD	union	117991	36544	1319	192451	309
8	14	2022Q3	2024Q3	2024Q4	DD	cashtag	9432	2880	163	4598	31
